initial date: 2023-01-01
Fecha actual: 2024-04-29
initial date: 2023-01-01
Fecha actual: 2024-04-29
75,0.110,0P0000WGTM.L
99,0.306,0P0000WH0C.F
99,0.305,0P0000WH1Q.F
93,0.158,0P0000WHRR.L
91,0.145,0P0000WHRU.L
85,0.120,0P0000WIDP.L
83,0.188,0P0000WIDR
87,0.118,0P0000WIDS.L
55,0.004,0P0000WIDT.L
82,0.163,0P0000WIDZ
94,0.136,0P0000WIHD
91,0.164,0P0000WIPO
90,0.250,0P0000WJ26.F
90,0.239,0P0000WJ28.L
73,0.129,0P0000WJ5F.F
94,0.123,0P0000WJEO.L
60,0.102,0P0000WJEW.L
91,0.138,0P0000WJEX.L
88,0.153,0P0000WJG1.TO
79,0.214,0P0000WJH2.TO
66,0.128,0P0000WJH4.TO
67,0.128,0P0000WJH6.TO
85,0.293,0P0000WJH9.TO
88,0.153,0P0000WJHP.TO
95,0.075,0P0000WJHW.TO
74,0.132,0P0000WJIE.TO
79,0.214,0P0000WJL8.TO
85,0.293,0P0000WJLC.TO
88,0.153,0P0000WJLQ.TO
74,0.132,0P0000WJM2.TO
89,0.196,0P0000WJN7.TO
90,0.139,0P0000WJNH.TO
99,0.301,0P0000WLHD.ST
89,0.207,0P0000WLSS.TO
93,0.185,0P0000WM08.L
92,0.198,0P0000WM0A.L
0,0.138,0P0000WM5R.L
96,0.241,0P0000WM8N.L
89,0.254,0P0000WM8P.L
99,0.151,0P0000WM8Q.L
95,0.184,0P0000WM8R.L
74,0.142,0P0000WM8S.L
83,0.010,0P0000WM9G.L
92,0.128,0P0000WMEH.F
100,0.304,0P0000WMGT.F
87,0.240,0P0000WMJ2.F
94,0.168,0P0000WMON.L
73,0.278,0P0000WMV5.BO
82,0.308,0P0000WMV6.BO
94,0.298,0P0000WMX9
92,0.051,0P0000WN32.L
96,0.085,0P0000WN35.L
98,0.282,0P0000WN39.L
86,0.273,0P0000WN3Z.L
85,0.261,0P0000WN40.L
95,0.224,0P0000WN48.L
95,0.241,0P0000WN4E.L
95,0.221,0P0000WN4N.L
95,0.218,0P0000WN4P.L
95,0.246,0P0000WN4R.L
79,0.177,0P0000WN4Z.L
98,0.013,0P0000WN55.L
94,0.122,0P0000WN5E.L
92,0.163,0P0000WN5I.L
88,0.129,0P0000WN5M.L
86,0.185,0P0000WN74.F
100,0.126,0P0000WN79.L
100,0.114,0P0000WN7B.L
99,0.068,0P0000WN7D.L
91,0.285,0P0000WN7G.L
91,0.288,0P0000WN7H.L
94,0.192,0P0000WN7J.L
85,0.259,0P0000WN7K.L
89,0.063,0P0000WN7N.L
84,0.097,0P0000WN7Q.L
90,0.220,0P0000WN7U.L
92,0.257,0P0000WN7V.L
67,0.120,0P0000WN7Z.L
86,0.201,0P0000WN81.L
89,0.246,0P0000WN82.L
94,0.241,0P0000WNZY.L
94,0.220,0P0000WNZZ.L
93,0.224,0P0000WO00.L
93,0.194,0P0000WO01.L
88,0.106,0P0000WO04.L
91,0.151,0P0000WO05.L
87,0.330,0P0000WUMI.F
91,0.141,0P0000WUNX.L
95,0.184,0P0000WUNY.L
95,0.144,0P0000WUOH.L
81,0.050,0P0000WUOX.L
87,0.179,0P0000WUPE.L
94,0.224,0P0000WUPH.L
94,0.233,0P0000WUPI.L
88,0.168,0P0000WUPJ.L
92,0.147,0P0000WUPK.L
94,0.150,0P0000WUPL.L
94,0.149,0P0000WUPM.L
57,0.092,0P0000WUPS.L
89,0.148,0P0000WUPU.L
91,0.162,0P0000WUPV.L
93,0.184,0P0000WUPW.L
94,0.198,0P0000WUPX.L
94,0.201,0P0000WUPY.L
68,0.099,0P0000WUQ4.L
86,0.104,0P0000WUQ7.L
95,0.140,0P0000WUQF.L
98,0.244,0P0000WUQS.BO
94,0.270,0P0000WUS2.SW
94,0.269,0P0000WUS4.SW
92,0.176,0P0000WUT1.L
93,0.179,0P0000WUT8.L
87,0.254,0P0000WUZX.TO
87,0.262,0P0000WUZZ.TO
87,0.242,0P0000WV00.TO
87,0.252,0P0000WV01.TO
87,0.248,0P0000WV02.TO
87,0.257,0P0000WV03.TO
43,0.042,0P0000WV05.TO
41,0.030,0P0000WV06.TO
86,0.154,0P0000WV07.TO
45,0.055,0P0000WV08.TO
86,0.161,0P0000WV09.TO
86,0.167,0P0000WV0A.TO
87,0.175,0P0000WV0C.TO
90,0.273,0P0000WV0F.TO
90,0.274,0P0000WV0H.TO
90,0.275,0P0000WV0I.TO
90,0.209,0P0000WV0J.TO
90,0.276,0P0000WV0K.TO
91,0.213,0P0000WV0L.TO
91,0.218,0P0000WV0M.TO
91,0.222,0P0000WV0P.TO
88,0.162,0P0000WV0R.TO
88,0.168,0P0000WV0S.TO
88,0.172,0P0000WV0V.TO
88,0.179,0P0000WV0W.TO
91,0.224,0P0000WV1O.TO
91,0.228,0P0000WV1R.TO
91,0.215,0P0000WV1U.TO
88,0.259,0P0000WV1V.TO
91,0.220,0P0000WV1W.TO
89,0.266,0P0000WV1X.TO
88,0.254,0P0000WV1Z.TO
88,0.260,0P0000WV21.TO
93,0.142,0P0000WV23.TO
92,0.127,0P0000WV26.TO
92,0.113,0P0000WV27.TO
92,0.136,0P0000WV28.TO
92,0.095,0P0000WV29.TO
92,0.120,0P0000WV2A.TO
92,0.106,0P0000WV2B.TO
92,0.102,0P0000WV2S.TO
92,0.082,0P0000WV2T.TO
92,0.094,0P0000WV2U.TO
92,0.113,0P0000WV2V.TO
89,0.122,0P0000WV2W.TO
89,0.135,0P0000WV2X.TO
89,0.129,0P0000WV2Y.TO
89,0.140,0P0000WV2Z.TO
93,0.289,0P0000WV30.TO
93,0.290,0P0000WV31.TO
93,0.290,0P0000WV32.TO
93,0.291,0P0000WV33.TO
89,0.251,0P0000WV34.TO
90,0.255,0P0000WV35.TO
90,0.255,0P0000WV36.TO
90,0.257,0P0000WV37.TO
90,0.209,0P0000WV38.TO
90,0.214,0P0000WV3A.TO
91,0.225,0P0000WV3B.TO
86,0.172,0P0000WV3C.TO
86,0.189,0P0000WV3D.TO
86,0.181,0P0000WV3E.TO
89,0.202,0P0000WV3F.TO
86,0.196,0P0000WV3G.TO
89,0.210,0P0000WV3H.TO
89,0.206,0P0000WV3I.TO
89,0.214,0P0000WV3J.TO
88,0.164,0P0000WV3W.TO
89,0.179,0P0000WV3X.TO
89,0.184,0P0000WV3Y.TO
88,0.171,0P0000WV3Z.TO
100,0.303,0P0000WV40.TO
100,0.303,0P0000WV41.TO
100,0.303,0P0000WV42.TO
100,0.303,0P0000WV43.TO
100,0.303,0P0000WV44.TO
86,0.195,0P0000WV46.TO
86,0.179,0P0000WV47.TO
86,0.200,0P0000WV48.TO
88,0.260,0P0000WV58.TO
88,0.264,0P0000WV5A.TO
