initial date: 2023-01-01
Fecha actual: 2024-05-01
99,0.244,0P00006EJ6.F
90,0.172,0P00006EJZ.F
96,0.171,0P00006F0O
82,0.162,0P00006F0P.L
95,0.296,0P00006FYT.SI
91,0.290,0P00006FYU
100,0.309,0P00006FZ2.SI
100,0.314,0P00006FZ3
88,0.106,0P00006FZ4.SI
100,0.053,0P00006FZ7.SI
90,1.111,0P00006G08.SI
91,0.210,0P00006G0E.SI
87,0.217,0P00006G32.SI
95,0.204,0P00006HY9.SI
94,0.107,0P00006HYD.SI
89,0.184,0P00006HYY.SI
100,0.303,0P00006O8P.SI
89,0.085,0P00006O9J.SI
93,0.042,0P00006O9Z.L
94,0.057,0P00006OA0.L
100,0.035,0P00006OA5.F
90,0.258,0P00006OAX.SI
100,0.323,0P00006OI0.SI
79,0.149,0P00006OK2.F
92,0.289,0P00006OKD
86,0.294,0P00006OXD.F
95,0.027,0P00006OXP.F
100,0.312,0P00006PPB.F
97,0.311,0P00006PPC.F
95,0.311,0P00006SRX.TW
93,0.241,0P00006SV4.F
93,0.286,0P00006SXL.F
96,0.165,0P00006T5G.L
85,0.207,0P00006T8H
98,0.074,0P00006TA1.L
59,0.265,0P00006TAL.F
99,0.230,0P00006TSM.TW
92,0.270,0P00006TV8.F
64,0.144,0P00006TW7.L
100,0.299,0P00006U03.L
99,0.213,0P00006U09.F
99,0.200,0P00006U0A.F
89,0.265,0P00006XPE
94,0.282,0P00006XPK.F
93,0.181,0P00006ZYS.F
94,0.289,0P00006ZZK.TW
100,0.302,0P0000703D.TO
89,0.279,0P0000703E.TO
96,0.212,0P0000704B.TO
92,0.187,0P0000704Z.TO
100,0.229,0P0000707A.TO
93,0.198,0P00007082.TO
97,0.250,0P0000708Q.TO
94,0.251,0P0000708S.TO
94,0.195,0P0000708W.TO
94,0.234,0P00007090.TO
93,0.196,0P00007091.TO
91,0.158,0P00007096.TO
93,0.240,0P00007097.TO
89,0.284,0P00007098.TO
94,0.203,0P00007099.TO
100,0.300,0P0000709C.TO
88,0.293,0P0000709E.TO
91,0.171,0P0000709G.TO
94,0.187,0P0000709H.TO
91,0.170,0P0000709I.TO
98,0.158,0P0000709L.TO
95,0.244,0P000070B3.TO
96,0.264,0P000070B4.TO
95,0.196,0P000070C4.TO
90,0.272,0P000070C8.TO
94,0.091,0P000070CP.TO
91,0.283,0P000070DN.TO
99,0.153,0P000070DP.TO
92,0.162,0P000070EL.TO
92,0.133,0P000070EU.TO
92,0.196,0P000070EX.TO
83,0.134,0P000070EY.TO
86,0.153,0P000070FJ.TO
92,0.109,0P000070G7.TO
95,0.222,0P000070G9.TO
89,0.154,0P000070GA.TO
99,0.288,0P000070GY.TO
91,0.242,0P000070HM.TO
95,0.182,0P000070KQ.TO
96,0.245,0P000070L8.TO
96,0.154,0P000070M7.TO
91,0.224,0P000070MW.TO
90,0.188,0P000070MX.TO
92,0.245,0P000070MY.TO
94,0.284,0P000070NP.TO
86,0.291,0P000070NQ.TO
95,0.222,0P000070O3.TO
93,0.236,0P000070OK.TO
94,0.095,0P000070Q5.TO
66,0.122,0P000070Q9.TO
88,0.139,0P000070RF.TO
89,0.156,0P000070RG.TO
93,0.144,0P000070S1.TO
92,0.174,0P000070S2.TO
84,0.189,0P000070S3.TO
86,0.275,0P000070SC.TO
90,0.139,0P000070SG.TO
100,0.111,0P000070SI.TO
90,0.199,0P000070SM.TO
90,0.229,0P000070SN.TO
84,0.079,0P000070SR.TO
88,0.139,0P000070ST.TO
89,0.156,0P000070SU.TO
92,0.221,0P000070SX.TO
96,0.198,0P000070TI.TO
94,0.288,0P000070TJ.TO
96,0.198,0P000070TK.TO
92,0.173,0P000070TL.TO
92,0.166,0P000070TR.TO
96,0.209,0P000070U2.TO
91,0.232,0P000070W1.TO
91,0.224,0P000070WL.TO
88,0.293,0P000070XS.TO
88,0.293,0P000070XT.TO
52,0.039,0P000070Y2.TO
90,0.239,0P000070YF.TO
88,0.248,0P0000710I.TO
91,0.251,0P0000710K.TO
95,0.262,0P0000710T.TO
95,0.241,0P0000710U.TO
94,0.208,0P0000710V.TO
93,0.147,0P00007119.TO
86,0.208,0P0000711E.TO
88,0.293,0P00007138.TO
91,0.215,0P0000713P.TO
86,0.202,0P0000714C.TO
93,0.147,0P0000714T.TO
92,0.234,0P0000714X.TO
92,0.277,0P0000715R.TO
89,0.287,0P0000715Z.TO
51,0.038,0P00007166.TO
88,0.292,0P00007167.TO
92,0.239,0P00007168.TO
93,0.290,0P0000716H.TO
99,0.044,0P0000717A.TO
95,0.186,0P00007181.TO
88,0.236,0P0000718Q.TO
85,0.166,0P000071B9.TO
91,0.254,0P000071CG.TO
91,0.236,0P000071CH.TO
95,0.116,0P000071CL.TO
92,0.289,0P000071DC.TO
92,0.202,0P000071DD.TO
94,0.235,0P000071FG.TO
93,0.287,0P000071FN.TO
89,0.282,0P000071HD.TO
89,0.233,0P000071HG.TO
82,0.018,0P000071HX.TO
95,0.199,0P000071JD.TO
85,0.123,0P000071KI.TO
96,0.213,0P000071KS.TO
93,0.200,0P000071MA.TO
89,0.282,0P000071N2.TO
91,0.231,0P000071NN.TO
89,0.169,0P000071NX.TO
94,0.241,0P000071QB.TO
98,0.258,0P000071QH.TO
92,0.129,0P000071QJ.TO
90,0.153,0P000071R9.TO
90,0.214,0P000071SO.TO
94,0.282,0P000071T9.TO
50,0.017,0P000071TJ.TO
86,0.168,0P000071TL.TO
96,0.160,0P000071TN.TO
93,0.144,0P000071TO.TO
93,0.287,0P000071U0.TO
91,0.174,0P000071U1.TO
91,0.269,0P000071U3.TO
96,0.206,0P000071U4.TO
97,0.153,0P000071U5.TO
95,0.246,0P000071U6.TO
94,0.289,0P000071U7.TO
94,0.244,0P000071UO.TO
97,0.153,0P000071VS.TO
93,0.256,0P000071XW.TO
94,0.281,0P000071YD.TO
94,0.287,0P000071YF.TO
94,0.288,0P000071YJ.TO
95,0.243,0P00007209.TO
